player_id,player_name,volforce,16_puc,17_puc,18_puc,19_puc,20_puc
SV-4775-3573,UNKNOWN,20.89,345,379,229,13,0
SV-4783-7538,*OREO*,20.53
SV-4792-1363,ITALY3,19.73,32,9,0,0,0
SV-4799-4597,MOLANG2,20.02,1,3,0,0,0
SV-4799-4737,NOTT-KUN,20.16,7,6,0,0,0
SV-4801-6479,MONO,20.06,9,11,0,0,0
SV-4811-7321,PATIENT0,19.64,3,0,0,0,0
SV-4816-2807,X.ASTRAL,20.68,64,280,126,4,0
SV-4817-3678,JOSE.APS,19.65,0,0,0,0,0
SV-4817-8543,NAG.MIL,20.09,31,74,4,0,0
SV-4839-8007,GOLDBALL,20.04,11,12,0,0,0
SV-4840-2970,YUNASHI,20.61,40,104,27,1,0
SV-4867-9750,COMIC LO,19.84,49,10,1,0,0
SV-4870-0491,GENTIUS,20.12,12,8,2,0,0
SV-4875-5847,KEIMITH,19.69,25,10,0,0,0
SV-4879-4046,24KW*MTS,20.75,341,423,230,8,0
SV-4888-3737,SUGA*CBA,20.35,11,27,20,0,0
SV-4931-6274,TAKERUN,20.07,3,1,2,0,0
SV-4946-0600,S.MESIE*,20.54,99,161,35,0,0
SV-4973-4377,Y,19.97,63,51,3,0,0
SV-4975-4117,HINANO.K,20.00
SV-4978-7731,SOSK#EYT,20.02,57,40,3,0,0
SV-4983-0214,4545#4JO,19.81,6,5,1,0,0
SV-5008-6253,CRR*PINO,20.11,27,15,0,0,0
SV-5010-6994,X.GEO W,20.57,139,218,40,0,0
SV-5013-1599,YUURI,20.60,49,61,27,0,0
SV-5022-9578,RAUM.MCB,20.01,97,44,2,0,0
SV-5028-5935,ART*2BKI,20.07
SV-5031-4544,SO-JIRO-,20.05
SV-5052-3095,NARU,20.59
SV-5054-4837,TTBN,20.01,1,2,0,0,0
SV-5063-5809,BUHYAFF,19.90,42,18,0,0,0
SV-5074-0515,HIYUKING,19.31
SV-5105-5914,FLEURETY,20.05,76,19,2,0,0
SV-5120-2102,SHO.OPI,20.65
SV-5121-0110,33SA.COM,20.17
SV-5140-5788,IW-K.DIA,20.53
SV-5151-7501,MAYOPON,19.71,124,21,1,0,0
SV-5152-4410,UI*O-O,20.36,14,19,14,0,0
SV-5158-1726,LN*LIPS,20.09,84,40,8,0,0
SV-5166-4270,LIULI-0,20.56
SV-5172-6052,SIR1Z,20.01,42,18,1,0,0
SV-5174-8795,JD...PUC,19.97,28,34,2,0,0
SV-5180-4151,KANY,20.10,91,100,6,0,0
SV-5198-9959,RYU,20.30,282,174,17,0,0
SV-5200-1831,SHAN-*0*,20.08,18,82,6,0,0
SV-5202-2292,WF.EDEN,19.98,289,104,2,0,0
SV-5204-0170,1Z#41.NA,20.12,210,142,10,0,0
SV-5214-5156,KURO,19.93,30,20,0,0,0
SV-5219-7509,RAG*,19.70,10,3,0,0,0
SV-5229-2205,S.HWA*,20.43,2,83,31,0,0
SV-5236-1295,SE2NA,19.90,34,11,1,0,0
SV-5237-7892,PO,20.11,202,135,10,0,0
SV-5238-9043,X1......,20.02,14,26,0,0,0
SV-5245-6271,.NA,20.49
SV-5250-5341,MOKOU,20.23,29,14,4,0,0
SV-5261-4611,K.KAREN,20.74,14,140,138,5,0
SV-5278-0679,ELRICK,20.21,185,157,14,0,0
SV-5286-5946,SIKEGAMI,20.05,5,12,1,0,0
SV-5292-0000,RUNA.S,20.03,255,150,2,0,0
SV-5313-3556,L0X0N1N5,20.59
SV-5313-4557,*BOT.MTS,20.60,148,281,66,1,0
SV-5318-5909,NARU,20.63,1,2,32,0,0
SV-5347-0599,ASTOLFO,20.14
SV-5355-9527,KIRU,20.02,17,5,0,0,0
SV-5361-7886,10RIKU.,20.76,131,199,89,11,0
SV-5362-1470,MNTT.CAT,19.95,33,10,2,0,0
SV-5366-2371,WADO.ATG,19.34,44,6,0,0,0
