musicname,artistname,diff,difficult,level,puc_count
Freeway Shuffle -More2 HAPPY Re-Mix-,Yu_Asahina,EXH,2,15,50
pandora (Maozon Remix),Maozon,NOV,0,2,15
pandora (Maozon Remix),Maozon,ADV,1,8,6
pandora (Maozon Remix),Maozon,EXH,2,13,27
Tomorrow Perfume (tpz Despair Remix),t+pazolite,NOV,0,4,5
Tomorrow Perfume (tpz Despair Remix),t+pazolite,ADV,1,9,7
Tomorrow Perfume (tpz Despair Remix),t+pazolite,EXH,2,13,24
AA BlackY mix,BlackY,NOV,0,6,7
AA BlackY mix,BlackY,ADV,1,12,2
AA BlackY mix,BlackY,EXH,2,16,11
AA BlackY mix,BlackY,INF,4,17,2
Soundscape,Hommarju,NOV,0,4,8
Soundscape,Hommarju,ADV,1,9,7
Soundscape,Hommarju,EXH,2,13,28
ルートスフィア(EXIT TUNES),Last Note. feat. GUMI,NOV,0,1,34
ルートスフィア(EXIT TUNES),Last Note. feat. GUMI,ADV,1,6,13
ルートスフィア(EXIT TUNES),Last Note. feat. GUMI,EXH,2,11,48
人生リセットボタン(EXIT TUNES),kemu feat. GUMI,NOV,0,4,6
人生リセットボタン(EXIT TUNES),kemu feat. GUMI,ADV,1,11,12
人生リセットボタン(EXIT TUNES),kemu feat. GUMI,EXH,2,15,100
人生リセットボタン(EXIT TUNES),kemu feat. GUMI,VVD,7,17,100
十面相(EXIT TUNES),YM feat. GUMI,NOV,0,3,15
十面相(EXIT TUNES),YM feat. GUMI,ADV,1,8,9
十面相(EXIT TUNES),YM feat. GUMI,EXH,2,13,100
十面相(EXIT TUNES),YM feat. GUMI,VVD,7,17,56
腐れ外道とチョコレゐト(EXIT TUNES),ピノキオP,NOV,0,5,6
腐れ外道とチョコレゐト(EXIT TUNES),ピノキオP,ADV,1,10,7
腐れ外道とチョコレゐト(EXIT TUNES),ピノキオP,EXH,2,14,52
腐れ外道とチョコレゐト(EXIT TUNES),ピノキオP,HVN,6,18,21
エスケープ・フロム・ディストピア(EXIT TUNES),cosMo＠暴走P feat. MAYU,NOV,0,2,15
エスケープ・フロム・ディストピア(EXIT TUNES),cosMo＠暴走P feat. MAYU,ADV,1,7,8
エスケープ・フロム・ディストピア(EXIT TUNES),cosMo＠暴走P feat. MAYU,EXH,2,15,33
